Clauses, SAT Time Taken (us), UNSAT Time Taken (us)
10,,19
10,,10
10,10,
10,,8
10,8,
10,,7
10,,7
10,,6
10,8,
10,,21
16,,13
16,,14
16,,21
16,,9
16,,9
16,,11
16,,10
16,,10
16,,9
16,,10
24,,20
24,,19
24,,17
24,,18
24,,15
24,,17
24,,15
24,,17
24,,15
24,,15
32,,21
32,,20
32,,19
32,,19
32,,19
32,,20
32,,20
32,,24
32,,19
32,,22
36,,21
36,,18
36,,16
36,,18
36,,18
36,,19
36,,18
36,,18
36,,17
36,,18
40,,21
40,,25
40,,20
40,,20
40,,18
40,,18
40,,19
40,,21
40,,19
40,,37
44,,21
44,,21
44,,20
44,,20
44,,21
44,,24
44,,26
44,,25
44,,28
44,,27
48,,29
48,,29
48,,26
48,,24
48,,24
48,,25
48,,26
48,,26
48,,30
48,,23
20,,15
20,,15
20,,15
20,,15
20,,16
20,,12
20,,12
20,,12
20,,11
20,,11
40,,23
40,,23
40,,23
40,,21
40,,25
40,,24
40,,25
40,,22
40,,25
40,,24
60,,32
60,,36
60,,32
60,,30
60,,30
60,,29
60,,35
60,,30
60,,36
60,,32
80,,41
80,,41
80,,42
80,,41
80,,42
80,,42
80,,39
80,,40
80,,39
80,,41
90,,48
90,,49
90,,45
90,,43
90,,46
90,,42
90,,44
90,,47
90,,50
90,,48
100,,51
100,,52
100,,47
100,,49
100,,48
100,,48
100,,58
100,,53
100,,51
100,,51
110,,59
110,,57
110,,58
110,,57
110,,57
110,,57
110,,56
110,,56
110,,59
110,,57
120,,65
120,,66
120,,61
120,,64
120,,67
120,,64
120,,62
120,,60
120,,58
120,,58
40,,23
40,,23
40,,29
40,,27
40,,29
40,,27
40,,24
40,,24
40,,21
40,27,
80,,46
80,,44
80,,44
80,,48
80,,48
80,,44
80,,52
80,,44
80,,43
80,,45
120,,69
120,,67
120,,75
120,,77
120,,65
120,,68
120,,73
120,,72
120,,67
120,,65
160,,87
160,,154
160,,90
160,,94
160,,87
160,,89
160,,85
160,,96
160,,94
160,,97
180,,99
180,,108
180,,99
180,,105
180,,99
180,,105
180,,98
180,,128
180,,105
180,,101
200,,117
200,,114
200,,113
200,,108
200,,108
200,,107
200,,109
200,,115
200,,111
200,,112
220,,133
220,,121
220,,122
220,,124
220,,122
220,,122
220,,125
220,,121
220,,124
220,,123
240,,132
240,,131
240,,141
240,,133
240,,138
240,,134
240,,131
240,,132
240,,132
240,,134
40,,27
40,32,
40,,28
40,31,
40,,26
40,,25
40,,25
40,32,
40,,30
40,,28
80,,64
80,,59
80,,60
80,,51
80,,53
80,,56
80,,53
80,,52
80,,52
80,,55
120,,87
120,,78
120,,87
120,,77
120,,82
120,,78
120,,82
120,,78
120,,79
120,,87
160,,103
160,,108
160,,103
160,,111
160,,128
160,,108
160,,108
160,,105
160,,103
160,,111
180,,124
180,,116
180,,124
180,,119
180,,116
180,,118
180,,119
180,,118
180,,118
180,,120
200,,131
200,,132
200,,132
200,,131
200,,127
200,,140
200,,131
200,,128
200,,149
200,,145
220,,158
220,,144
220,,147
220,,148
220,,152
220,,144
220,,145
220,,144
220,,151
220,,154
240,,164
240,,156
240,,158
240,,156
240,,164
240,,163
240,,217
240,,157
240,,156
240,,159
40,36,
40,36,
40,,33
40,35,
40,35,
40,35,
40,35,
40,,34
40,,31
40,,30
80,,65
80,,64
80,,63
80,,59
80,72,
80,,72
80,,61
80,,72
80,,72
80,,65
120,,92
120,,89
120,,100
120,,102
120,112,
120,,110
120,,92
120,109,
120,,92
120,,97
160,,121
160,,126
160,,132
160,,119
160,,127
160,,122
160,,135
160,,148
160,,134
160,,128
180,,136
180,,138
180,,149
180,,134
180,,139
180,,139
180,,134
180,,137
180,,161
180,,133
200,,157
200,,153
200,,174
200,,154
200,,150
200,,166
200,,165
200,,157
200,,163
200,,153
220,,167
220,,164
220,203,
220,,162
220,,179
220,,164
220,,181
220,,175
220,,186
220,,181
240,,196
240,,201
240,,199
240,,191
240,,210
240,,183
240,,220
240,,179
240,,197
240,,196
